#,Name,Pattern,Type,Date Started,Date Finished,Colors,Length,How many strings?,Where is it going?
1,Ship's Wheel Burst,https://www.braceletbook.com/patterns/normal/109070/,Normal,1/1/2023,1/2/2023,6,Bracelet,30,Keeping
2,Purple diamond cross and x's,https://www.braceletbook.com/patterns/normal/88490/,Normal,1/2/2023,1/3/2023,3,Bracelet,34,Keeping
3,Purple and pink galaxy,https://www.braceletbook.com/patterns/alpha/137375/,Alpha,1/5/2023,1/6/2023,6,Bracelet,10,Keeping
4,Pastel rainbow plaid cross,https://www.braceletbook.com/patterns/normal/88690/,Normal,1/6/2023,1/7/2023,5,Bracelet,16,Keeping
5,Rainbow shaped,https://www.braceletbook.com/patterns/normal/122139/,Normal,1/8/2023,1/10/2023,6,Bracelet,22,Keeping
6,Pink and blue neon,https://www.braceletbook.com/patterns/normal/71872/,Normal,1/10/2023,1/10/2023,5,Keychain,30,Sold
7,Black and cool + pink lines,https://www.braceletbook.com/patterns/normal/139593/,Normal,1/11/2023,1/12/2023,6,Bracelet,22,Keeping
8,Purple sky with moon,https://www.braceletbook.com/patterns/alpha/76856/,Alpha,1/13/2023,1/15/2023,3,Bookmark,24,Keeping
9,Rainbow distored plaid and diamonds,https://www.braceletbook.com/patterns/normal/35374/,Normal,1/15/2023,1/16/2023,11,Bracelet,24,Keeping
10,Vertical Heart chain,https://www.braceletbook.com/patterns/normal/140308/,Normal,1/22/2023,1/23/2023,2,Bracelet,8,Gave away
11,Heart/it looks like a skull macreme (light pink) V day,https://www.braceletbook.com/patterns/normal/143011/,Macreme,2/12/2023,2/12/2023,2,Keychain,14,Gave away
12,Heart/it looks like a skull macreme (darker pink) V day,https://www.braceletbook.com/patterns/normal/143011/,Macreme,2/13/2023,2/13/2023,2,Keychain,14,Gave away
13,Shaped heart,https://www.braceletbook.com/patterns/alpha/49891/,Alpha,2/13/2023,2/13/2023,1,Keychain,15,Keeping
14,Mermaid thin x's and diagonal,https://www.braceletbook.com/patterns/normal/87405/,Normal,2/16/2023,2/17/2023,2,Bracelet,14,Keeping
15,"Heartstopper ""hi""s",https://www.braceletbook.com/patterns/alpha/126263/,Alpha,2/18/2023,2/18/2023,5,Keychain,19,Keeping
16,Pink outline and diamonds,https://www.braceletbook.com/patterns/normal/105040/,Normal,2/21/2023,2/22/2023,3,Bracelet,26,Keeping
