#,Name,Pattern,Type,Date Started,Date Finished,Colors,Length,How many strings?,Where is it going?,,,,
1,Pink shaped bow,https://www.braceletbook.com/patterns/alpha/169435/,Alpha,1/3/2025,1/4/2025,2,Bracelet,13,Gave away,,,,
2,"""The Prophecy""",https://www.braceletbook.com/patterns/alpha/168246/,Alpha,1/4/2025,1/5/2025,4,Bracelet,17,Keeping,,,,
3,Shaped fox,https://www.braceletbook.com/patterns/alpha/181577/,Alpha,1/5/2025,1/6/2025,7,Bracelet,21,Keeping,,,,
4,Pink and blue celtic,https://www.braceletbook.com/patterns/normal/126853/,Normal,1/6/2025,1/7/2025,3,Bracelet,28,Gave away,,,,
5,Shaped red panada,https://www.braceletbook.com/patterns/alpha/137408/,Alpha,1/11/2025,1/11/2025,5,Bracelet,9,Gave away,,,,
6,Varigated celtic,https://www.braceletbook.com/patterns/normal/126853/,Normal,1/11/2025,1/13/2025,3,Bracelet,28,Keeping,,,,
7,Shaped golden wings,https://www.braceletbook.com/patterns/alpha/141460/,Alpha,1/13/2025,1/14/2025,3,Bracelet,16,Keeping,,,,
8,Rainbow shaped hearts,https://www.braceletbook.com/patterns/alpha/128150/,Alpha,1/14/2025,1/15/2025,17,Bracelet,14,Gave away,,,,
9,Knot with Peter mystery,https://www.braceletbook.com/patterns/normal/183895/,Normal,1/15/2025,2/11/2025,10,Bracelet,30,Keeping,,,,
10,Shaped frog,https://www.braceletbook.com/patterns/alpha/89623/,Alpha,1/15/2025,5/29/2025,3,Bracelet,10,Keeping,,,,
11,Light green daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,2/1/2025,2/1/2025,3,Choker,6,Keeping,,,,
12,Orange starburst,https://www.braceletbook.com/patterns/normal/25054/,Normal,3/28/2025,3/29/2025,6,Bracelet,34,Keeping,,,,
13,4-leaf clover chain,https://www.braceletbook.com/patterns/normal/173496/,Normal,4/23/2025,4/24/2025,3,Bracelet,10,Keeping,,,,
14,3D pink butterfly,https://www.braceletbook.com/patterns/alpha/167858/,Alpha,5/1/2025,5/1/2025,3,Bracelet,10,Keeping,,,,
15,Short n' Sweet cover,https://www.braceletbook.com/patterns/alpha/171535/,Alpha,5/8/2025,5/8/2025,6,Keychain,20,Gave away,,,,
16,Epic logo,https://www.braceletbook.com/patterns/alpha/176349/,Alpha,5/8/2025,5/9/2025,2,Bracelet,19,Gave away,,,,
17,Grad cap chain,https://www.braceletbook.com/patterns/normal/162806/,Normal,5/10/2025,5/11/2025,4,Bracelet,8,Keeping,,,,
18,Notes app,,Alpha,5/24/2025,5/24/2025,3,Keychain,25,Giving away,,,,
19,Cowboy boots with legs,https://www.braceletbook.com/patterns/alpha/94694/,Alpha,5/25/2025,5/26/2025,5,Keychain,21,Giving away,,,,
20,Green circuts,https://www.braceletbook.com/patterns/alpha/183714/,Alpha,5/27/2025,5/28/2025,5,Bracelet,18,Keeping,,,,
21,Crabs,https://www.braceletbook.com/patterns/alpha/171602/,Alpha,6/1/2025,6/1/2025,5,Bracelet,15,Selling,,,,
22,Japanese waves,https://www.braceletbook.com/patterns/alpha/164385/,Alpha,6/4/2025,6/9/2025,15,Bookmark,40,Keeping,,,,
23,Shaped cables,https://www.braceletbook.com/patterns/alpha/133675/,Alpha,6/10/2025,6/10/2025,4,Bracelet,12,Keeping,,,,
24,Red starburst,https://www.braceletbook.com/patterns/normal/25054/,Normal,6/10/2025,6/11/2025,6,Bracelet,34,Keeping,,,,
25,Pink/bw diamond shaped,https://www.braceletbook.com/patterns/normal/16509/,Normal,6/11/2025,6/12/2025,4,Bracelet,18,Giving away,,,,
26,Fox chain,https://www.braceletbook.com/patterns/normal/151591/,Normal,6/12/2025,6/12/2025,3,Bracelet,8,Sold,,,,
27,Bird on branch,https://www.braceletbook.com/patterns/alpha/161134/,Alpha,6/17/2025,6/18/2025,13,Bookmark,25,Selling,,,,
28,Interlocking arrowhead,https://www.braceletbook.com/patterns/normal/128048/,Normal,6/21/2025,6/26/2025,5,Bracelet,16,Giving away,,,,
